,出现次数,标签占比,标签召回率,标签查准率,品类,品类占比,品类召回率,品类查准率,机审是否支持,是否fordeal关注,统计时间段
accept,104159.0,0.9715690206796198,0.9054,0.9844,accept,0.9715690206796198,0.9054,0.9844,否,否,2022-04-25~2022-05-09
禁销/宗教,304.0,0.002835635732741332,0.3355,0.4048,马克杯,0.0034792504220806475,0.27611689008042894,0.3300788203753351,否,否,2022-04-25~2022-05-09
禁销/宗教,202.0,0.0018842053224136484,0.5347,0.3354,短袖T恤,0.0020241215592265434,0.4977391705069123,0.3122156682027649,否,否,2022-04-25~2022-05-09
禁销/宗教,129.0,0.0012032796365908942,0.1008,0.1857,时尚/休闲套装,0.0012126073857117539,0.10002461538461538,0.18427153846153846,否,否,2022-04-25~2022-05-09
禁销/色情低俗,92.0,0.0008581529191190874,0.7283,0.4621,比基尼,0.0008861361664816664,0.73688,0.45698105263157895,否,否,2022-04-25~2022-05-09
禁销/色情低俗,73.0,0.0006809256858227541,0.8493,0.2145,分体泳衣,0.0007648754279104909,0.8414524390243903,0.26778658536585365,否,否,2022-04-25~2022-05-09
禁销/色情低俗,57.0,0.0005316816998889998,0.8772,0.2825,男士内裤,0.0005316816998889998,0.8772,0.2825,否,否,2022-04-25~2022-05-09
禁销/宗教,53.0,0.0004943707034055612,0.4528,0.3692,现代装饰画,0.0007182366823061927,0.4415337662337662,0.32889090909090907,否,否,2022-04-25~2022-05-09
禁销/色情低俗,51.0,0.0004757152051638419,0.6275,0.0697,S型连衣裙,0.000708908933185333,0.5921381578947368,0.24114736842105267,否,否,2022-04-25~2022-05-09
禁销/色情低俗,51.0,0.0004757152051638419,0.6863,0.3241,潜水套装,0.0005503371981307191,0.711886440677966,0.3276118644067796,否,否,2022-04-25~2022-05-09
禁销/色情低俗,47.0,0.00043840420868040335,0.6809,0.1255,欧美模特套装,0.0006436146893393156,0.6087246376811593,0.1743173913043478,否,否,2022-04-25~2022-05-09
禁销/宗教,47.0,0.00043840420868040335,0.2766,0.2708,休闲皮鞋,0.00043840420868040335,0.2766,0.2708,否,否,2022-04-25~2022-05-09
禁销/色情低俗,45.0,0.000419748710438684,0.3556,0.1081,A型连衣裙,0.0006063036928558769,0.4461846153846154,0.15176153846153845,否,否,2022-04-25~2022-05-09
禁销/宗教,44.0,0.0004104209613178244,0.75,0.4125,其它节庆用品,0.0008488251699982278,0.36263736263736257,0.1994505494505494,否,否,2022-04-25~2022-05-09
禁销/宗教,42.0,0.0003917654630761051,0.5,0.0693,戒指/指环,0.0003917654630761051,0.5,0.0693,否,否,2022-04-25~2022-05-09
禁销/易燃易爆品,35.0,0.0003264712192300876,0.0,0.0,钢笔,0.0003357989683509472,0.0,0.0,否,否,2022-04-25~2022-05-09
禁销/宗教,34.0,0.00031714347010922795,0.7941,0.0718,项链,0.0003824377139552454,0.6829121951219513,0.0636048780487805,否,否,2022-04-25~2022-05-09
禁销/色情低俗,33.0,0.0003078157209883683,0.4848,0.6957,裹裙/披纱,0.0003264712192300876,0.51424,0.6749914285714287,否,否,2022-04-25~2022-05-09
禁销,32.0,0.0002984879718675087,0.0,0.0,马克杯,0.0034792504220806475,0.27611689008042894,0.3300788203753351,否,否,2022-04-25~2022-05-09
禁销/色情低俗,32.0,0.0002984879718675087,0.8125,0.963,男式情趣内裤,0.0002984879718675087,0.8125,0.963,否,否,2022-04-25~2022-05-09
禁销/色情低俗,31.0,0.000289160222746649,0.7419,0.92,女士情趣睡衣,0.0002984879718675086,0.749965625,0.906875,否,否,2022-04-25~2022-05-09
禁销/色情低俗,29.0,0.0002705047245049297,0.8966,0.3421,女士内裤,0.0002705047245049297,0.8966,0.3421,否,否,2022-04-25~2022-05-09
禁销/宗教,26.0,0.00024252147714235077,0.3077,0.4444,其它,0.00024252147714235077,0.3077,0.4444,否,否,2022-04-25~2022-05-09
禁销/电子类违禁产品,26.0,0.00024252147714235077,0.0,0.0,其它日用家电,0.00041974871043868407,0.08889333333333332,0.023555555555555552,否,否,2022-04-25~2022-05-09
禁销/宗教,26.0,0.00024252147714235077,0.2308,0.0652,斜挎小包,0.00024252147714235077,0.2308,0.0652,否,否,2022-04-25~2022-05-09
禁销/宗教,25.0,0.00023319372802149113,0.52,0.5909,S型连衣裙,0.000708908933185333,0.5921381578947368,0.24114736842105267,否,否,2022-04-25~2022-05-09
禁销,24.0,0.0002238659789006315,0.0,0.0,其它节庆用品,0.0008488251699982278,0.36263736263736257,0.1994505494505494,否,否,2022-04-25~2022-05-09
