,出现次数,标签占比,标签召回率,标签查准率,品类,品类占比,品类召回率,品类查准率,机审是否支持,是否fordeal关注,统计时间段
accept,26044.0,0.2429318981036686,0.9782,0.9896,马克杯,0.24641114852574927,0.9680600900935002,0.980322890562895,否,否,2022-04-25~2022-05-09
accept,3393.0,0.031649052767076774,0.9334,0.9888,A型连衣裙,0.032255356459932646,0.919614170040486,0.9734262001156739,否,否,2022-04-25~2022-05-09
accept,3335.0,0.03110804331806692,0.9031,0.966,短袖T恤,0.033132164877293466,0.877769707207207,0.9215435247747746,否,否,2022-04-25~2022-05-09
accept,3235.0,0.030175268405980952,0.9549,0.9971,休闲鞋,0.030277873646310408,0.951972088724584,0.9944142020948861,否,否,2022-04-25~2022-05-09
accept,2422.0,0.022591808370722062,0.9719,0.9992,男士跑步鞋,0.02261046386896378,0.9710981023102311,0.9983755775577559,否,否,2022-04-25~2022-05-09
accept,1962.0,0.018301043775126626,0.8491,0.9876,戒指/指环,0.01869280923820273,0.8387895708582833,0.9688985029940121,否,否,2022-04-25~2022-05-09
accept,1893.0,0.01765742908578731,0.9282,0.9989,时尚拖鞋,0.017732051078754186,0.9274500789058392,0.9978525512887955,否,否,2022-04-25~2022-05-09
accept,1834.0,0.01710709188765659,0.9258,0.9889,斜挎小包,0.017349613364798937,0.9133963440860214,0.9767567741935484,否,否,2022-04-25~2022-05-09
accept,1648.0,0.015372130551176696,0.9326,1.0,男式板鞋,0.015418769296780993,0.9328038717483366,0.9980615245009077,否,否,2022-04-25~2022-05-09
accept,1643.0,0.015325491805572397,0.7797,0.9915,项链,0.01570792951952764,0.7749687054631829,0.9693643705463185,否,否,2022-04-25~2022-05-09
accept,1568.0,0.014625910621507924,0.9624,0.9987,凉鞋,0.01469120486535394,0.9606622857142859,0.9956095238095239,否,否,2022-04-25~2022-05-09
accept,1257.0,0.011724980644920575,0.9173,0.9722,休闲皮鞋,0.012163384853600977,0.8942072852760736,0.9683974693251534,否,否,2022-04-25~2022-05-09
accept,1217.0,0.011351870680086189,0.94,0.9072,时尚/休闲套装,0.012564478065797942,0.855964587973274,0.8298855233853006,否,否,2022-04-25~2022-05-09
accept,1189.0,0.011090693704702118,0.8452,0.995,X型连衣裙,0.011193298945031573,0.8407856666666667,0.9871998333333334,否,否,2022-04-25~2022-05-09
accept,1135.0,0.010586995252175697,0.6185,0.9643,S型连衣裙,0.01129590418536103,0.5895934764657309,0.9130950454170109,否,否,2022-04-25~2022-05-09
accept,1124.0,0.01048439001184624,0.9128,0.9894,石英表,0.01071758373986773,0.9042533507397738,0.9761073107049609,否,否,2022-04-25~2022-05-09
accept,1075.0,0.010027330304924118,0.9172,0.996,单肩包,0.010101952297890994,0.9141181902123732,0.9912280701754388,否,否,2022-04-25~2022-05-09
accept,1061.0,0.009896741817232083,0.934,0.99,套装（不包含爬服类）,0.010036658054044977,0.9246970260223049,0.9788011152416357,否,否,2022-04-25~2022-05-09
accept,1028.0,0.009588926096243715,0.751,0.9674,欧美模特套装,0.01023254078558303,0.7119671832269828,0.9119511394712855,否,否,2022-04-25~2022-05-09
accept,1010.0,0.009421026612068242,0.902,0.9712,靴子,0.00971951458393575,0.8762188099808063,0.9435677543186181,否,否,2022-04-25~2022-05-09
accept,985.0,0.00918783288404675,0.9543,0.9761,苹果手机保护壳/套,0.00942102661206824,0.9326589108910892,0.9542020792079209,否,否,2022-04-25~2022-05-09
accept,979.0,0.009131866389321593,0.906,0.9955,拎包/手提包,0.009253127127892767,0.9001754032258067,0.9905186491935486,否,否,2022-04-25~2022-05-09
accept,976.0,0.009103883141959014,0.8596,1.0,耳环,0.009243799378771908,0.8617251261352169,0.9878516649848639,否,否,2022-04-25~2022-05-09
accept,959.0,0.0089453114069044,0.9353,0.9978,女士上衣,0.009001277901629558,0.9315573056994819,0.9920104663212437,否,否,2022-04-25~2022-05-09
accept,894.0,0.008339007714048522,0.774,0.9858,礼服/晚装,0.00865615118415775,0.7553407327586208,0.9578625000000001,否,否,2022-04-25~2022-05-09
accept,892.0,0.008320352215806804,0.9294,0.9928,衬衫,0.008562873692949155,0.9117917211328976,0.9713992374727669,否,否,2022-04-25~2022-05-09
accept,844.0,0.00787262025800554,0.9265,0.9899,H型连衣裙,0.007965897749214138,0.9156510538641685,0.9783086651053863,否,否,2022-04-25~2022-05-09
accept,748.0,0.006977156342403015,0.9626,0.9931,床品套件/四件套/多件套,0.0070517783353698914,0.9563820105820107,0.9836197089947091,否,否,2022-04-25~2022-05-09
accept,747.0,0.006967828593282155,0.9398,0.9957,高跟凉鞋,0.006995811840644734,0.9360408,0.9917172000000001,否,否,2022-04-25~2022-05-09
accept,601.0,0.005605977221636647,0.9834,1.0,运动鞋,0.005643288218120086,0.9818568595041322,0.9988980165289255,否,否,2022-04-25~2022-05-09
accept,582.0,0.005428749988340313,0.957,0.9929,连衣裙,0.005475388733944612,0.9505517887563883,0.9854647359454853,否,否,2022-04-25~2022-05-09
accept,581.0,0.005419422239219454,0.9759,0.9965,短袖Polo衫,0.005447405486582034,0.970886815068493,0.9913809931506848,否,否,2022-04-25~2022-05-09
accept,576.0,0.005372783493615156,0.9184,0.9981,鸭舌帽,0.005438077737461173,0.914233962264151,0.986947512864494,否,否,2022-04-25~2022-05-09
accept,565.0,0.005270178253285699,0.9381,0.9962,机械表,0.005326144748010857,0.9352481611208406,0.994138353765324,否,否,2022-04-25~2022-05-09
accept,559.0,0.0052142117585605415,0.9231,0.9942,高跟鞋,0.00525152275504398,0.9183177619893427,0.9889126110124332,否,否,2022-04-25~2022-05-09
accept,553.0,0.005158245263835384,0.9204,0.9961,半身裙,0.005326144748010857,0.9159047285464098,0.9884392294220665,否,否,2022-04-25~2022-05-09
accept,543.0,0.005064967772626787,0.895,0.94,现代装饰画,0.00578320445493298,0.8177177419354837,0.8619956451612902,否,否,2022-04-25~2022-05-09
accept,531.0,0.004953034783176472,0.7815,0.9905,手链,0.005167573012956244,0.779741155234657,0.9557765342960289,否,否,2022-04-25~2022-05-09
accept,510.0,0.004757152051638419,0.8569,0.9776,正装皮鞋,0.004897068288451313,0.8419400000000001,0.9615742857142858,否,否,2022-04-25~2022-05-09
accept,500.0,0.0046638745604298225,0.964,0.9979,女士跑步鞋,0.004673202309550682,0.9620758483033931,0.9959081836327345,否,否,2022-04-25~2022-05-09
accept,492.0,0.004589252567462946,0.7927,0.8864,其它节庆用品,0.005438077737461174,0.722142024013722,0.7910516295025728,否,否,2022-04-25~2022-05-09
accept,475.0,0.004430680832408332,0.8526,1.0,耳钉,0.00447731957801263,0.8541354166666666,0.9913660416666666,否,否,2022-04-25~2022-05-09
accept,466.0,0.004346731090320595,0.7103,0.9851,休闲短裤,0.004430680832408333,0.6989469473684209,0.966515789473684,否,否,2022-04-25~2022-05-09
accept,446.0,0.004160176107903402,0.8318,1.0,墨镜,0.004160176107903402,0.8318,1.0,否,否,2022-04-25~2022-05-09
accept,418.0,0.0038989991325193317,0.9761,0.9976,无模特套装,0.003908326881640192,0.9737704057279235,0.9952190930787589,否,否,2022-04-25~2022-05-09
accept,417.0,0.003889671383398472,0.9137,0.987,长袖衬衫,0.003954965627244489,0.8986153301886792,0.9707051886792453,否,否,2022-04-25~2022-05-09
accept,415.0,0.003871015885156753,0.812,0.9941,连体长裤,0.00393631012900277,0.7985308056872038,0.9776101895734597,否,否,2022-04-25~2022-05-09
