,出现次数,召回率,查准率,f1-score
hermes-平底凉鞋,9.0,1.0,0.8182,0.9
adidas-马克杯,9.0,0.1111,1.0,0.2
balmain-短袖T恤,9.0,1.0,0.4091,0.5806
adidas-女士瑜伽裤,9.0,1.0,1.0,1.0
versace-男式钱包,9.0,1.0,0.9,0.9474
adidas-男士塑身上衣,9.0,1.0,1.0,1.0
gucci-围巾,9.0,1.0,1.0,1.0
gucci-乐福鞋,9.0,0.8889,0.4706,0.6154
armani-男士内裤,9.0,1.0,1.0,1.0
arcteryx-休闲鞋,9.0,1.0,1.0,1.0
liverpool_fc-男士足球服,9.0,0.3333,1.0,0.5
loewe-斜挎小包,9.0,1.0,0.45,0.6207
prada-单肩包,9.0,1.0,0.75,0.8571
gucci-低跟凉鞋,9.0,1.0,0.8182,0.9
prada-墨镜,9.0,1.0,1.0,1.0
philipp_plein-短袖T恤,9.0,1.0,1.0,1.0
prada-时尚/休闲套装,9.0,1.0,1.0,1.0
skechers-女士跑步鞋,9.0,0.4444,1.0,0.6154
armani-电子表,9.0,1.0,0.6923,0.8182
armani-休闲长裤,8.0,1.0,1.0,1.0
drew-休闲短裤,8.0,0.0,0.0,0.0
nike-圆领卫衣,8.0,0.875,0.7778,0.8235
burberry-男士内裤,8.0,1.0,1.0,1.0
dsquared2-Polo衫,8.0,0.5,1.0,0.6667
burberry-男式板鞋,8.0,0.875,0.5385,0.6667
christian_dior-乐福鞋/单鞋,8.0,1.0,0.7273,0.8421
chanel-围巾,8.0,1.0,1.0,1.0
tods-乐福鞋,8.0,0.875,1.0,0.9333
chanel-高跟鞋,8.0,1.0,0.7273,0.8421
calvin_klein-比基尼,8.0,1.0,1.0,1.0
balenciaga-时尚/休闲套装,8.0,1.0,0.8889,0.9412
yves_saint_laurent-苹果手机保护壳/套,8.0,1.0,1.0,1.0
disney_princess-苹果手机保护壳/套,8.0,0.0,0.0,0.0
minnie_mouse-马克杯,8.0,0.0,0.0,0.0
the_north_face-短袖Polo衫,8.0,1.0,1.0,1.0
burberry-鸭舌帽,8.0,0.875,0.6364,0.7368
casio-电子表,8.0,0.375,0.75,0.5
karl_lagerfeld-短袖T恤,8.0,0.0,0.0,0.0
true_religion-马克杯,8.0,0.0,0.0,0.0
amiri-牛仔长裤,8.0,0.5,1.0,0.6667
coach-手提包,8.0,1.0,1.0,1.0
mickey_mouse-无模特套装,8.0,1.0,1.0,1.0
puma-休闲短裤,8.0,1.0,0.8,0.8889
winnie_the_pooh-苹果手机保护壳/套,8.0,0.75,1.0,0.8571
nike-户外面罩,8.0,1.0,0.8889,0.9412
gucci-高跟凉鞋,8.0,1.0,0.3077,0.4706
fortnite-T恤,8.0,0.0,0.0,0.0
gucci-男士内裤,8.0,0.625,1.0,0.7692
gucci-石英表,8.0,0.875,0.3684,0.5185
reebok-男士跑步鞋,8.0,1.0,0.2667,0.4211
van_cleef_arpels-戒指/指环,8.0,0.625,1.0,0.7692
stone_island-圆领卫衣,8.0,0.125,1.0,0.2222
fendi-时尚拖鞋,8.0,1.0,0.5333,0.6957
stitch-苹果手机保护壳/套,8.0,0.875,1.0,0.9333
fendi-短袖T恤,8.0,1.0,0.5,0.6667
montblanc-手拿包,8.0,0.0,0.0,0.0
gucci-围巾/丝巾/披肩,8.0,1.0,0.2857,0.4444
versace-欧美模特套装,8.0,0.875,0.35,0.5
versace-墨镜,8.0,1.0,0.8889,0.9412
off_white-牛仔外套,8.0,0.75,1.0,0.8571
groot-马克杯,8.0,0.0,0.0,0.0
champion-男士内裤,8.0,1.0,1.0,1.0
burberry-宽沿帽/太阳帽,8.0,0.875,0.875,0.875
celine-耳环,8.0,0.625,1.0,0.7692
gucci-X型连衣裙,8.0,1.0,0.381,0.5517
spiderman-凉鞋,8.0,0.875,1.0,0.9333
gucci-女士跑步鞋,7.0,0.8571,0.75,0.8
louis_vuitton-女式板鞋,7.0,1.0,0.7778,0.875
bvlgari-项链,7.0,0.5714,1.0,0.7273
chanel-手镯,7.0,1.0,0.7,0.8235
gucci-平底凉鞋,7.0,1.0,0.4375,0.6087
van_cleef_arpels-耳环,7.0,0.5714,0.8,0.6667
victorias_secret-S型连衣裙,7.0,0.0,0.0,0.0
bottega_veneta-腰包/胸包,7.0,0.7143,1.0,0.8333
chrome_hearts-项链,7.0,1.0,0.5833,0.7368
armani-男士塑身上衣,7.0,1.0,1.0,1.0
christian_dior-高跟鞋,7.0,0.5714,0.5,0.5333
napapijri-短袖T恤,7.0,0.0,0.0,0.0
paw_patrol-马克杯,7.0,1.0,1.0,1.0
calvin_klein-打底裤,7.0,1.0,1.0,1.0
stitch-短袖T恤,7.0,0.7143,1.0,0.8333
prada-短袖衬衫,7.0,0.8571,1.0,0.9231
bottega_veneta-短袖T恤,7.0,1.0,0.7778,0.875
gucci-电子表,7.0,1.0,0.875,0.9333
gucci-女士睡衣/家居服套装,7.0,1.0,0.5385,0.7
lamborghini-男式板鞋,7.0,0.0,0.0,0.0
